timestep,susceptible,infected,recovered,dead
1,1439,61,0,0
2,1389,111,0,0
3,1315,184,1,0
4,1239,260,1,0
5,1138,359,3,0
6,1046,448,6,0
7,947,535,18,0
8,828,636,36,0
9,718,714,68,0
10,609,776,114,1
11,525,817,155,3
12,438,842,213,7
13,363,832,298,7
14,306,814,371,9
15,263,769,456,12
16,223,702,563,12
17,191,619,676,14
18,160,559,767,14
19,135,492,859,14
20,118,430,938,14
21,99,360,1025,16
22,78,315,1091,16
23,68,263,1152,17
24,59,224,1199,18
25,56,187,1238,19
26,52,157,1270,21
27,46,129,1303,22
28,44,101,1333,22
29,41,75,1361,23
30,39,60,1378,23
31,38,48,1391,23
32,36,42,1399,23
33,34,34,1409,23
34,30,33,1414,23
35,29,30,1418,23
36,26,27,1424,23
37,26,23,1428,23
38,25,19,1433,23
39,21,20,1435,24
40,20,18,1438,24
41,20,17,1439,24
42,20,15,1441,24
43,19,14,1443,24
44,19,13,1444,24
45,19,7,1450,24
46,19,7,1450,24
47,19,7,1450,24
48,19,5,1452,24
49,19,2,1455,24
50,19,1,1456,24
51,19,1,1456,24
52,19,1,1456,24
53,19,1,1456,24
54,19,1,1456,24
55,19,0,1457,24
