timestep,susceptible,infected,recovered,dead
1,1374,125,1,0
2,1206,293,1,0
3,959,536,5,0
4,723,771,6,0
5,551,939,10,0
6,391,1088,21,0
7,276,1171,53,0
8,199,1200,100,1
9,158,1182,157,3
10,124,1118,252,6
11,105,1016,368,11
12,79,894,515,12
13,59,744,677,20
14,39,630,806,25
15,28,501,941,30
16,18,373,1075,34
17,13,287,1164,36
18,8,210,1244,38
19,8,152,1301,39
20,6,108,1346,40
21,6,78,1376,40
22,6,59,1394,41
23,6,45,1408,41
24,5,29,1425,41
25,5,22,1432,41
26,4,18,1437,41
27,4,12,1443,41
28,4,7,1448,41
29,4,6,1449,41
30,4,3,1452,41
31,4,1,1454,41
32,4,1,1454,41
33,4,1,1454,41
34,4,0,1455,41
