timestep,susceptible,infected,recovered,dead
1,1373,127,0,0
2,1206,294,0,0
3,937,563,0,0
4,686,813,1,0
5,465,1027,8,0
6,293,1185,22,0
7,183,1275,42,0
8,103,1306,90,1
9,55,1271,171,3
10,31,1162,302,5
11,17,1040,436,7
12,10,885,597,8
13,8,715,766,11
14,6,569,912,13
15,3,414,1067,16
16,2,287,1194,17
17,2,193,1287,18
18,1,127,1351,21
19,1,80,1396,23
20,1,50,1426,23
21,1,24,1452,23
22,1,12,1464,23
23,1,8,1468,23
24,1,5,1471,23
25,1,2,1474,23
26,1,2,1474,23
27,1,1,1475,23
28,1,1,1475,23
29,1,1,1475,23
30,1,1,1475,23
31,1,1,1475,23
32,1,1,1475,23
33,1,0,1476,23
