timestep,susceptible,infected,recovered,dead
1,981,19,0,0
2,977,23,0,0
3,969,31,0,0
4,962,38,0,0
5,952,48,0,0
6,939,61,0,0
7,921,79,0,0
8,904,96,0,0
9,887,111,2,0
10,874,121,5,0
11,860,134,6,0
12,839,153,8,0
13,826,163,11,0
14,803,177,19,1
15,783,188,28,1
16,765,198,36,1
17,746,206,47,1
18,730,215,54,1
19,718,214,67,1
20,706,212,80,2
21,685,222,91,2
22,670,215,113,2
23,657,215,125,3
24,638,219,139,4
25,619,215,161,5
26,598,223,174,5
27,584,226,184,6
28,563,231,199,7
29,534,240,218,8
30,513,246,233,8
31,487,257,248,8
32,473,255,264,8
33,451,252,289,8
34,430,253,309,8
35,411,259,319,11
36,394,262,332,12
37,374,259,355,12
38,360,255,373,12
39,338,261,389,12
40,322,261,405,12
41,300,263,425,12
42,290,255,443,12
43,272,249,467,12
44,257,238,493,12
45,243,234,511,12
46,232,229,526,13
47,223,221,543,13
48,215,206,566,13
49,210,193,584,13
50,199,177,611,13
51,196,160,630,14
52,191,145,650,14
53,184,142,660,14
54,181,129,674,16
55,180,113,691,16
56,172,111,701,16
57,170,93,721,16
58,165,85,734,16
59,164,74,746,16
60,160,67,757,16
61,154,65,765,16
62,151,59,774,16
63,148,51,785,16
64,146,47,791,16
65,145,45,794,16
66,145,41,798,16
67,145,33,806,16
68,143,33,808,16
69,143,28,813,16
70,142,25,817,16
71,142,22,820,16
72,138,24,822,16
73,137,21,826,16
74,136,20,828,16
75,135,20,829,16
76,134,20,830,16
77,131,20,833,16
78,128,20,836,16
79,127,19,838,16
80,126,20,838,16
81,126,19,839,16
82,126,16,842,16
83,126,14,844,16
84,126,13,844,17
85,125,13,845,17
86,125,13,845,17
87,125,13,845,17
88,124,12,847,17
89,124,11,848,17
90,124,9,850,17
91,124,6,852,18
92,123,5,854,18
93,123,5,854,18
94,123,4,855,18
95,123,2,857,18
96,123,2,857,18
97,123,2,857,18
98,123,2,857,18
99,123,2,857,18
100,123,1,858,18
101,123,1,858,18
102,123,1,858,18
103,123,1,858,18
104,123,1,858,18
105,123,1,858,18
106,123,0,859,18
