timestep,susceptible,infected,recovered,dead
1,984,16,0,0
2,977,23,0,0
3,966,34,0,0
4,954,46,0,0
5,936,61,3,0
6,917,79,4,0
7,894,93,13,0
8,873,101,26,0
9,858,103,39,0
10,842,106,50,2
11,817,115,66,2
12,803,110,84,3
13,791,98,106,5
14,778,92,125,5
15,767,85,141,7
16,756,82,154,8
17,746,78,166,10
18,728,78,183,11
19,719,74,196,11
20,712,64,213,11
21,703,61,223,13
22,693,56,236,15
23,686,51,248,15
24,678,54,253,15
25,673,48,264,15
26,665,46,273,16
27,658,44,281,17
28,647,45,291,17
29,635,49,299,17
30,628,46,309,17
31,619,47,317,17
32,610,51,322,17
33,596,59,328,17
34,590,51,340,19
35,587,50,344,19
36,582,50,348,20
37,573,46,361,20
38,566,43,371,20
39,561,45,374,20
40,556,42,382,20
41,550,40,390,20
42,543,42,395,20
43,537,39,404,20
44,531,40,408,21
45,527,35,417,21
46,523,35,420,22
47,518,34,426,22
48,513,32,433,22
49,511,29,438,22
50,509,25,444,22
51,508,22,448,22
52,506,17,454,23
53,502,17,457,24
54,499,17,460,24
55,495,16,464,25
56,495,13,466,26
57,493,14,467,26
58,492,11,471,26
59,491,12,471,26
60,490,10,474,26
61,489,6,478,27
62,489,4,480,27
63,489,4,480,27
64,488,5,480,27
65,488,2,481,29
66,488,1,482,29
67,488,1,482,29
68,488,0,483,29
