timestep,susceptible,infected,recovered,dead
1,983,17,0,0
2,977,23,0,0
3,970,29,1,0
4,954,45,1,0
5,936,61,3,0
6,911,82,7,0
7,887,101,12,0
8,862,116,22,0
9,830,130,40,0
10,807,142,51,0
11,774,158,68,0
12,733,170,95,2
13,695,183,119,3
14,659,193,144,4
15,619,202,174,5
16,585,217,193,5
17,552,208,232,8
18,524,208,260,8
19,488,205,297,10
20,447,210,332,11
21,426,198,363,13
22,408,181,396,15
23,378,179,427,16
24,354,167,462,17
25,338,151,492,19
26,322,139,516,23
27,309,121,545,25
28,290,114,571,25
29,276,103,594,27
30,256,108,608,28
31,245,102,624,29
32,229,99,641,31
33,221,88,658,33
34,209,81,677,33
35,204,69,693,34
36,198,61,707,34
37,194,50,722,34
38,186,51,728,35
39,180,41,744,35
40,172,37,756,35
41,170,33,761,36
42,166,30,767,37
43,165,23,775,37
44,163,19,781,37
45,156,25,782,37
46,154,22,787,37
47,153,18,792,37
48,153,15,795,37
49,152,14,797,37
50,149,16,798,37
51,149,11,803,37
52,149,7,807,37
53,149,3,811,37
54,149,3,811,37
55,149,1,813,37
56,149,0,814,37
